MeldeLandkreisBundesland,30.01.2022,31.01.2022,01.02.2022,02.02.2022,03.02.2022,04.02.2022,05.02.2022,06.02.2022,07.02.2022,08.02.2022,09.02.2022,10.02.2022,11.02.2022,12.02.2022,13.02.2022,14.02.2022,15.02.2022,16.02.2022,17.02.2022,18.02.2022,19.02.2022,20.02.2022,21.02.2022,22.02.2022,23.02.2022,24.02.2022,25.02.2022,26.02.2022,27.02.2022,28.02.2022,01.03.2022,02.03.2022,03.03.2022,04.03.2022,05.03.2022,06.03.2022,07.03.2022,08.03.2022,09.03.2022,10.03.2022,11.03.2022,12.03.2022,13.03.2022,14.03.2022,15.03.2022,16.03.2022,17.03.2022,18.03.2022,19.03.2022,20.03.2022,21.03.2022,22.03.2022,23.03.2022,24.03.2022,25.03.2022,26.03.2022,27.03.2022,28.03.2022,29.03.2022,30.03.2022,31.03.2022
Baden-Württemberg,1240.5,1258.7,1312.6,1369.0,1439.1,1517.1,1562.9,1588.3,1612.2,1639.0,1679.9,1701.3,1697.9,1728.2,1737.0,1758.0,1770.2,1775.8,1783.7,1780.4,1735.7,1726.0,1708.7,1676.6,1660.8,1617.4,1585.2,1566.7,1536.9,1522.0,1513.2,1472.6,1471.1,1489.3,1522.6,1571.6,1592.7,1643.6,1744.7,1837.6,1905.7,1976.9,2001.8,2023.4,2056.7,2077.8,2091.5,2113.5,2120.8,2095.6,2075.1,2099.6,2079.7,2082.8,2032.0,1961.2,1914.1,1857.1,1825.7,1777.0,1639.0
Bayern,1486.2,1522.0,1542.2,1610.8,1737.0,1834.0,1863.7,1882.8,1897.9,1940.5,1953.9,1949.5,1937.1,1937.8,1921.8,1907.9,1894.0,1879.4,1898.3,1938.3,1912.0,1923.2,1920.7,1910.0,1925.9,1884.7,1782.6,1786.1,1791.2,1771.6,1753.9,1665.4,1643.3,1651.0,1628.0,1603.1,1619.5,1652.8,1774.4,1841.0,1936.2,2028.6,2107.2,2144.6,2191.2,2202.1,2278.0,2333.1,2360.1,2330.5,2317.3,2366.9,2406.2,2396.6,2395.2,2378.8,2355.3,2328.7,2261.6,2185.9,2042.1
Berlin,1967.7,1961.8,1912.1,1906.5,1892.9,1885.4,1823.6,1797.0,1785.8,1740.3,1659.7,1594.3,1488.5,1453.7,1423.1,1417.0,1372.5,1313.5,1210.7,1161.5,1154.7,1173.9,1172.3,1160.8,1125.3,1154.2,1179.7,1164.2,1142.4,1143.1,1086.9,1036.4,993.4,954.4,926.0,932.5,929.5,895.3,723.0,764.8,779.2,832.4,829.7,831.3,948.0,1177.4,1197.9,1203.0,1155.7,1132.0,1128.9,1109.3,1132.2,1133.3,1151.9,1173.3,1193.8,1196.4,1140.8,1065.3,953.9
Brandenburg,1488.0,1495.1,1543.1,1632.6,1709.2,1765.2,1779.8,1742.3,1721.1,1723.9,1764.4,1784.1,1845.2,1867.1,1872.4,1872.6,1866.7,1839.1,1826.7,1771.3,1732.4,1714.7,1702.2,1672.5,1626.0,1544.7,1527.3,1510.4,1493.0,1484.2,1473.5,1491.7,1516.3,1481.9,1470.4,1491.7,1496.2,1497.9,1494.2,1498.8,1521.8,1568.3,1588.1,1589.6,1625.1,1633.2,1677.5,1701.4,1665.6,1585.9,1575.7,1620.4,1624.7,1584.0,1530.0,1469.0,1467.1,1464.4,1394.4,1323.1,1192.7
Bremen,1554.1,1604.3,1459.6,1340.8,1336.2,1367.4,1324.3,1336.2,1330.5,1420.0,1436.6,1401.6,1316.4,1280.8,1261.5,1256.8,1074.8,1023.6,962.0,886.4,878.8,885.3,851.7,817.2,763.4,794.7,827.5,780.4,746.6,739.3,717.5,744.1,718.4,697.5,695.5,719.1,723.5,724.4,749.4,806.0,861.3,927.2,920.7,911.6,1100.4,1177.7,1234.8,1296.8,1301.2,1362.4,1433.3,1377.1,1391.6,1370.3,1496.9,1609.4,1591.6,1564.3,1797.0,1917.1,1868.6
Hamburg,2297.6,2181.6,2127.4,2128.3,2059.3,1958.8,1887.6,1847.5,1837.3,1805.7,1707.6,1607.1,1581.0,1502.9,1450.7,1427.0,1375.7,1303.4,1222.8,1124.9,1070.1,1069.9,1034.8,947.1,873.1,841.0,760.8,704.4,701.9,704.1,678.9,685.4,672.1,712.1,735.7,740.2,772.4,798.1,807.1,857.8,891.5,941.5,965.7,974.2,1061.0,1119.6,1185.9,1259.1,1298.9,1316.0,1317.2,1360.4,1428.6,1466.5,1494.9,1482.6,1465.8,1448.1,1399.2,1357.3,1086.2
Hessen,1504.0,1521.4,1590.6,1631.2,1671.0,1713.4,1725.6,1739.9,1757.1,1746.8,1776.2,1800.1,1748.9,1719.4,1655.5,1596.1,1527.0,1454.3,1366.4,1312.6,1256.5,1249.2,1248.7,1181.6,1146.9,1071.3,1039.3,1021.6,1001.7,979.6,978.2,924.3,928.2,929.0,935.6,959.8,969.1,997.8,1037.4,1076.9,1088.1,1134.5,1144.6,1157.4,1209.9,1234.9,1293.2,1356.2,1370.3,1363.9,1380.7,1457.3,1511.1,1544.8,1566.7,1590.0,1634.7,1622.2,1602.9,1594.5,1506.3
Mecklenburg-Vorpommern,1076.4,1085.9,1125.3,1143.4,1178.3,1226.7,1264.7,1295.8,1343.8,1346.5,1377.1,1439.9,1426.7,1423.5,1393.4,1384.9,1402.1,1435.8,1393.4,1418.7,1435.2,1443.2,1419.8,1408.0,1424.4,1483.9,1499.0,1494.3,1535.9,1560.0,1566.0,1614.9,1645.9,1696.7,1771.1,1766.6,1767.0,1818.4,1895.6,1984.7,2047.6,2114.6,2174.4,2209.1,2281.1,2347.3,2430.6,2532.1,2551.0,2559.5,2507.6,2549.5,2556.8,2509.0,2428.0,2379.4,2380.2,2370.1,2288.8,2151.0,2004.8
Niedersachsen,1015.1,1018.7,1042.6,1073.4,1125.3,1152.1,1198.0,1215.9,1230.9,1253.5,1322.5,1350.9,1367.4,1334.5,1313.8,1306.0,1266.5,1232.3,1263.1,1235.8,1230.4,1236.6,1231.2,1247.8,1265.1,1223.3,1229.1,1236.5,1235.4,1222.1,1227.4,1212.5,1219.8,1240.9,1271.9,1282.1,1301.2,1316.0,1339.3,1396.2,1470.5,1534.9,1589.3,1609.6,1658.0,1740.4,1826.3,1887.5,1937.3,1964.3,1976.3,2058.2,2125.2,2151.3,2176.2,2212.1,2205.4,2195.2,2162.4,2115.6,1951.2
Nordrhein-Westfalen,1501.4,1529.9,1541.1,1576.9,1608.0,1635.3,1664.4,1667.8,1667.1,1700.6,1715.4,1717.0,1698.3,1685.7,1672.6,1650.2,1600.0,1559.5,1505.3,1449.4,1375.7,1354.0,1324.5,1279.9,1243.1,1213.9,1179.7,1161.0,1132.0,1124.1,1090.5,1053.0,1040.2,1112.0,1156.6,1175.5,1255.2,1324.7,1401.8,1459.0,1470.4,1495.5,1522.6,1482.7,1517.2,1548.7,1588.3,1611.4,1610.4,1576.0,1584.7,1598.1,1589.8,1585.1,1561.2,1548.0,1560.5,1534.8,1470.5,1434.0,1314.7
Rheinland-Pfalz,1034.8,1043.1,1087.9,1144.7,1177.6,1209.1,1233.3,1246.1,1248.9,1296.5,1308.7,1315.3,1305.3,1269.2,1249.7,1242.3,1212.7,1211.3,1198.8,1200.2,1211.5,1211.9,1200.9,1196.8,1172.8,1133.6,1098.3,1080.3,1074.2,1070.6,1035.2,1039.9,1066.9,1132.6,1211.0,1233.6,1249.0,1348.5,1422.8,1492.4,1501.2,1501.6,1509.4,1531.6,1562.8,1582.6,1655.7,1729.4,1764.8,1773.7,1747.7,1766.5,1796.3,1815.9,1855.6,1877.4,1873.2,1879.9,1903.5,1874.9,1695.5
Saarland,1132.7,1170.8,1212.6,1258.0,1354.8,1376.8,1423.6,1490.1,1467.6,1469.3,1527.2,1520.2,1535.7,1539.6,1518.5,1531.4,1518.2,1487.4,1470.4,1446.7,1422.9,1400.0,1373.0,1369.5,1335.5,1248.2,1272.7,1245.1,1223.9,1214.6,1220.7,1225.2,1275.2,1298.1,1367.5,1411.4,1448.6,1507.7,1588.5,1679.0,1755.1,1799.4,1864.8,1923.5,1970.6,2084.5,2193.5,2236.5,2272.1,2275.2,2248.6,2261.9,2278.2,2237.6,2234.0,2276.9,2286.3,2284.4,2278.3,2232.3,2251.1
Sachsen,718.0,727.6,761.0,850.9,903.1,967.5,1012.1,1039.6,1066.6,1114.1,1188.3,1259.7,1292.6,1331.4,1350.2,1357.5,1404.3,1381.0,1364.8,1360.5,1365.1,1360.3,1362.7,1341.0,1316.1,1357.7,1376.1,1356.8,1354.4,1344.3,1353.0,1418.4,1421.7,1434.8,1461.6,1488.7,1487.7,1520.3,1611.0,1709.2,1818.9,1932.6,2009.0,2051.7,2193.3,2267.3,2382.2,2529.3,2626.6,2632.1,2637.1,2639.9,2655.4,2594.2,2498.5,2392.9,2316.1,2285.7,2175.5,2005.6,1712.3
Sachsen-Anhalt,817.3,840.7,887.7,976.9,1049.3,1110.3,1198.0,1217.3,1265.3,1324.3,1434.8,1522.2,1628.3,1722.1,1762.1,1749.9,1755.6,1712.9,1710.8,1667.7,1610.3,1609.5,1612.4,1624.0,1660.3,1729.0,1800.5,1877.6,1869.0,1891.2,1884.6,1855.9,1810.4,1781.6,1731.6,1755.1,1778.8,1825.7,1848.2,1892.8,1918.2,1946.5,2012.5,2019.0,2058.0,2099.4,2132.5,2193.1,2200.0,2165.7,2155.3,2191.2,2241.0,2250.9,2228.6,2225.8,2180.6,2159.9,2117.8,1962.2,1740.1
Schleswig-Holstein,1021.9,981.7,959.6,925.4,927.8,937.1,943.7,924.0,913.3,905.1,911.5,885.6,841.7,809.0,795.0,794.2,789.4,774.6,770.3,769.9,782.4,794.2,793.5,807.2,844.4,868.2,891.7,907.8,883.2,866.6,920.3,937.5,966.7,970.0,995.1,997.2,993.8,1041.0,1064.1,1114.3,1186.8,1261.5,1336.6,1400.8,1414.4,1501.8,1550.6,1595.4,1611.7,1620.4,1641.5,1650.2,1670.0,1665.4,1667.9,1655.8,1644.9,1600.3,1606.4,1559.2,1511.5
Thüringen,457.7,476.5,488.2,538.1,605.4,658.9,714.3,758.2,777.2,807.8,853.1,901.8,966.4,996.4,1012.9,1016.0,1029.8,1051.1,1057.1,1078.5,1091.7,1108.0,1120.6,1145.9,1190.4,1228.4,1250.1,1290.0,1324.9,1321.9,1330.3,1331.3,1338.1,1385.7,1422.9,1456.8,1489.0,1584.9,1665.5,1803.8,1885.4,1975.2,1996.8,2032.7,2091.8,2135.4,2179.4,2210.5,2229.8,2217.5,2264.5,2291.1,2311.7,2264.3,2239.1,2204.0,2191.5,2132.4,2069.3,1998.7,1937.3
Gesamt,1320.7,1335.6,1358.7,1402.8,1456.7,1502.6,1529.5,1540.6,1550.8,1574.6,1599.7,1609.5,1600.6,1596.0,1582.5,1571.9,1548.1,1521.5,1500.5,1480.4,1447.0,1443.7,1431.7,1408.9,1396.3,1370.1,1342.5,1334.4,1321.5,1311.1,1297.5,1267.5,1263.1,1288.0,1308.7,1323.9,1352.3,1395.5,1456.8,1521.6,1571.9,1629.6,1669.1,1680.3,1731.3,1777.2,1832.3,1879.9,1897.0,1881.1,1880.0,1912.7,1932.8,1930.7,1918.0,1902.2,1892.2,1867.3,1821.9,1764.6,1625.1
